Removed Pin From Net: NetName=3V3 Pin=C11-1
Removed Pin From Net: NetName=3V3 Pin=C12-1
Removed Pin From Net: NetName=3V3 Pin=C13-1
Removed Pin From Net: NetName=GND Pin=C13-2
Removed Pin From Net: NetName=3V3 Pin=C14-1
Removed Pin From Net: NetName=GND Pin=C14-2
Removed Pin From Net: NetName=+5V Pin=C15-1
Removed Pin From Net: NetName=GND Pin=C15-2
Removed Pin From Net: NetName=+5V Pin=C16-1
Removed Pin From Net: NetName=GND Pin=C16-2
Removed Pin From Net: NetName=GND Pin=DA3-1
Removed Pin From Net: NetName=3V3 Pin=DA3-2
Removed Pin From Net: NetName=3V3 Pin=DA3-2
Removed Pin From Net: NetName=+5V Pin=DA3-3
Removed Pin From Net: NetName=3V3 Pin=HL1-A
Removed Pin From Net: NetName=GND Pin=R4-1
Removed Pin From Net: NetName=+5V Pin=XS3-1
Removed Pin From Net: NetName=GND Pin=XS3-2
Removed Member From Class: ClassName=powerful Member=C15
Removed Member From Class: ClassName=powerful Member=C16
Removed Member From Class: ClassName=powerful Member=DA3
Removed Member From Class: ClassName=powerful Member=HL1
Change Component Footprint: Designator=C11 Old Footprint=0805_cap New Footprint=0603_CAP
Change Component Footprint: Designator=C12 Old Footprint=0805_cap New Footprint=0603_CAP
Change Component Footprint: Designator=XS3 Old Footprint=STEP_2.54mm 2X1 New Footprint=PH4_2mm
Change Component Comment : Designator=C10 Old Comment=0,1 New Comment=0.1
Change Component Comment : Designator=C11 Old Comment=47p New Comment=100n
Change Component Comment : Designator=C12 Old Comment=47p New Comment=100n
Change Component Comment : Designator=R4 Old Comment=470 New Comment=10k
Change Component Comment : Designator=XS3 Old Comment=power_5v New Comment=TTL
Change Component Designator: OldDesignator=C1 NewDesignator=C13
Change Component Designator: OldDesignator=C2 NewDesignator=C14
Change Component Designator: OldDesignator=C3 NewDesignator=C1
Change Component Designator: OldDesignator=C4 NewDesignator=C2
Change Component Designator: OldDesignator=C5 NewDesignator=C3
Change Component Designator: OldDesignator=C6 NewDesignator=C4
Change Component Designator: OldDesignator=C7 NewDesignator=C5
Change Component Designator: OldDesignator=C8 NewDesignator=C6
Change Component Designator: OldDesignator=C9 NewDesignator=C7
Change Component Designator: OldDesignator=XS1 NewDesignator=XS4
Change Component Designator: OldDesignator=XS2 NewDesignator=XS1
Change component parameters: Designator = "C10" ("C10"); Footprint = "0402_CAP"; UniqueID = "\ERURXAHC" ("\ERURXAHC")
Change component parameters (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Parameter 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueType"; Value = "Конденсатор"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "C11" ("C11"); Footprint = "0805_cap"; UniqueID = "\KYRKBFFS" ("\KYRKBFFS")
Change component parameters (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Parameter 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueType"; Value = "Конденсатор"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "C12" ("C12"); Footprint = "0805_cap"; UniqueID = "\IMEYOFTO" ("\IMEYOFTO")
Change component parameters (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Parameter 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100n"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueType"; Value = "Конденсатор"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R4" ("R4"); Footprint = "0402_res"; UniqueID = "\EKVSNEDC" ("\EKVSNEDC")
Change component parameters (AddParameter): Name = "Case"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temp"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueDescription"; Value = ""; VariantName = "[No Variations]"
